date,song,artist,rank,weekly_videos,image_url
2022-05-08,Sunroof,Nicky Youre & dazy,6,346K,https://tokchart.com/img/7030869625311086594/600
2022-05-08,original sound - mdsharia80,MD:Sharia80,7,333K,https://tokchart.com/img/6959192420412033794/600
2022-05-08,East Side Flow,Sidhu Moose Wala,8,303K,https://tokchart.com/img/6709398585370216450/600
2022-05-08,,,9,273K,https://tokchart.com/img/6944559499671816961/600
2022-05-08,Party Coy,ORANG BANJAR,10,263K,https://tokchart.com/img/6829376311581084418/600
2022-05-15,Love You So,The King Khan & BBQ Show,1,1M,https://tokchart.com/img/6728562975734515713/600
2022-05-15,Wait A Minute! (Duckhead Edit),Duckhead Dj Kasur,2,983K,https://tokchart.com/img/7082370286401702683/600
2022-05-15,Jiggle Jiggle,Duke & Jones & Louis Theroux,3,758K,https://tokchart.com/img/7075729123557100294/600
2022-05-15,About Damn Time,Lizzo,4,585K,https://tokchart.com/img/7086201843973621762/600
2022-05-15,ZOOM,Jessi,5,561K,https://tokchart.com/img/7084201528721950722/600
2022-05-15,See Tình - Hoàng Thuỳ Linh (Sped Up Version),gjnk,6,350K,https://tokchart.com/img/7073776380529412891/600
2022-05-15,MOONDO BY KASH KOO,ℓσяєℓαιη͢͢͢є 💙,7,329K,https://tokchart.com/img/6838249382299585282/600
2022-05-15,About Damn Time,Lizzo,8,243K,https://tokchart.com/img/7089828122854197249/600
2022-05-15,PROVENZA,KAROL G,9,232K,https://tokchart.com/img/7089940822535277318/600
2022-05-15,rainbow,Gatton,10,213K,https://tokchart.com/img/6925656726998009857/600
2022-05-22,Love You So,The King Khan & BBQ Show,1,1M,https://tokchart.com/img/6728562975734515713/600
2022-05-22,Jiggle Jiggle,Duke & Jones & Louis Theroux,2,773K,https://tokchart.com/img/7075729123557100294/600
2022-05-22,ZOOM,Jessi,3,458K,https://tokchart.com/img/7084201528721950722/600
2022-05-22,Wait A Minute! (Duckhead Edit),Duckhead Dj Kasur,4,430K,https://tokchart.com/img/7082370286401702683/600
2022-05-22,Cyberpunk,Max Brhon,5,378K,https://tokchart.com/img/6761043041311541250/600
2022-05-22,MOONDO BY KASH KOO,ℓσяєℓαιη͢͢͢є 💙,6,377K,https://tokchart.com/img/6838249382299585282/600
2022-05-22,Sin Pijama,Becky G & NATTI NATASHA,7,333K,https://tokchart.com/img/6812122639365049090/600
2022-05-22,Gogo Dance,El Alfa & Chael Produciendo,8,319K,https://tokchart.com/img/7087744357444471557/600
2022-05-22,About Damn Time,Lizzo,9,303K,https://tokchart.com/img/7086201843973621762/600
2022-05-22,Buga (Lo Lo Lo),Kizz Daniel,10,301K,https://tokchart.com/img/7093949567481285381/600
2022-05-29,Jiggle Jiggle,Duke & Jones & Louis Theroux,1,949K,https://tokchart.com/img/7075729123557100294/600
2022-05-29,Love You So,The King Khan & BBQ Show,2,904K,https://tokchart.com/img/6728562975734515713/600
2022-05-29,Buga (Lo Lo Lo),Kizz Daniel,3,525K,https://tokchart.com/img/7093949567481285381/600
2022-05-29,Sin Pijama,Becky G & NATTI NATASHA,4,450K,https://tokchart.com/img/6812122639365049090/600
2022-05-29,Gogo Dance,El Alfa & Chael Produciendo,5,394K,https://tokchart.com/img/7087744357444471557/600
2022-05-29,ZOOM,Jessi,6,357K,https://tokchart.com/img/7084201528721950722/600
2022-05-29,Treasure (Sped Up Version),Phoebe,7,348K,https://tokchart.com/img/7053203603615746822/600
2022-05-29,About Damn Time,Lizzo,8,308K,https://tokchart.com/img/7089828122854197249/600
2022-05-29,Wait A Minute! (Duckhead Edit),Duckhead Dj Kasur,9,260K,https://tokchart.com/img/7082370286401702683/600
2022-05-29,Sway (Sped Up Version),Michael Bublé,10,254K,https://tokchart.com/img/7038982678271544069/600
2022-06-05,Love You So,The King Khan & BBQ Show,1,923K,https://tokchart.com/img/6728562975734515713/600
2022-06-05,Jiggle Jiggle,Duke & Jones & Louis Theroux,2,898K,https://tokchart.com/img/7075729123557100294/600
2022-06-05,Running Up That Hill (A Deal With God),Kate Bush,3,454K,https://tokchart.com/img/235918692176371712/600
2022-06-05,Buga (Lo Lo Lo),Kizz Daniel,4,341K,https://tokchart.com/img/7093949567481285381/600
2022-06-05,About Damn Time,Lizzo,5,321K,https://tokchart.com/img/7089828122854197249/600
2022-06-05,ZOOM,Jessi,6,296K,https://tokchart.com/img/7084201528721950722/600
2022-06-05,Somebody That I Used to Know (Remix),speed🆗,7,289K,https://tokchart.com/img/7076819615875173121/600
2022-06-05,Me Porto Bonito,Bad Bunny & Chencho Corleone,8,264K,https://tokchart.com/img/7094499898527058694/600
2022-06-05,I Love You by Young Slo Be,ʚ❤︎ɞNanami's Wifeʚ❤︎ɞ,9,248K,https://tokchart.com/img/7053264878286621487/600
2022-06-05,Me Porto Bonito,Bad Bunny & Chencho Corleone,10,229K,https://tokchart.com/img/7095407294631987973/600
2022-06-12,Love You So,The King Khan & BBQ Show,1,865K,https://tokchart.com/img/6728562975734515713/600
2022-06-12,Jiggle Jiggle,Duke & Jones & Louis Theroux,2,762K,https://tokchart.com/img/7075729123557100294/600
2022-06-12,Running Up That Hill (A Deal With God),Kate Bush,3,473K,https://tokchart.com/img/235918692176371712/600
2022-06-12,About Damn Time,Lizzo,4,297K,https://tokchart.com/img/7089828122854197249/600
2022-06-12,Efecto,Bad Bunny,5,278K,https://tokchart.com/img/7100329813914831621/600
2022-06-12,ZOOM,Jessi,6,259K,https://tokchart.com/img/7084201528721950722/600
2022-06-12,Funny Song,Funny Song Studio & Sounds Reel,7,248K,https://tokchart.com/img/6732536571318257666/600
2022-06-12,Дикая львица,ALEX&RUS,8,224K,https://tokchart.com/img/6707774381675808769/600
2022-06-12,MEAN!,Madeline The Person,9,217K,https://tokchart.com/img/7057733536920619823/600
2022-06-12,Good Boy Remix,𝕎𝕚𝕟 ℤ𝕒𝕨 𝔸𝕦𝕟𝕘 🇲🇲,10,186K,https://tokchart.com/img/7043255297213090586/600
2022-06-19,Love You So,The King Khan & BBQ Show,1,943K,https://tokchart.com/img/6728562975734515713/600
2022-06-19,Jiggle Jiggle,Duke & Jones & Louis Theroux,2,496K,https://tokchart.com/img/7075729123557100294/600
2022-06-19,Running Up That Hill (A Deal With God),Kate Bush,3,408K,https://tokchart.com/img/235918692176371712/600
2022-06-19,Efecto,Bad Bunny,4,278K,https://tokchart.com/img/7100329813914831621/600
2022-06-19,Funny Song,Funny Song Studio & Sounds Reel,5,230K,https://tokchart.com/img/6732536571318257666/600
2022-06-19,ZOOM,Jessi,6,229K,https://tokchart.com/img/7084201528721950722/600
2022-06-19,Aesthetic,Tollan Kim,7,205K,https://tokchart.com/img/7072513628145977346/600
2022-06-19,Дикая львица,ALEX&RUS,8,188K,https://tokchart.com/img/6707774381675808769/600
2022-06-19,Shut up and dance with me,booteler,9,182K,https://tokchart.com/img/7093312811438377774/600
2022-06-19,Ma Boy,(J)Ⓜ️’s,10,172K,https://tokchart.com/img/6848553007185988354/600
2022-06-26,Love You So,The King Khan & BBQ Show,1,770K,https://tokchart.com/img/6728562975734515713/600
2022-06-26,"1, 2, 3 (feat. Jason Derulo & De La Ghetto) [Sped Up Version]",Sofia Reyes,2,677K,https://tokchart.com/img/7093791030025243394/600
2022-06-26,Ma Boy,(J)Ⓜ️’s,3,417K,https://tokchart.com/img/6848553007185988354/600
2022-06-26,Running Up That Hill (A Deal With God),Kate Bush,4,374K,https://tokchart.com/img/235918692176371712/600
